mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,valor_punto,W_pares,W_juego,W_punto,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[4, 6, 6, 7]","[4,6,6,7]",0.0038,0.0599,True,False,pares,0,23,1,0.0,1.0,2.2120939316623462,2.179769607338022,2.179769607338022,2.1474452830136976,0.06464864864864861,0.032324324324324305
"[6, 6, 7, 10]","[6,6,7,10]",0.0245,0.0033,True,False,pares,0,29,1,0.0,1.0,2.206373565518928,2.1740917122370744,2.1740917122370744,2.141809858955221,0.0645637065637068,0.0322818532818534
"[4, 5, 5, 10]","[4,5,5,10]",0.0101,0.0962,True,False,pares,0,24,1,0.0,1.0,2.1948957588050897,2.1626911256004564,2.1626911256004564,2.130486492395823,0.06440926640926659,0.03220463320463329
"[5, 6, 6, 10]","[5,6,6,10]",0.0134,0.0228,True,False,pares,0,27,1,0.0,1.0,2.1943555653635665,2.1616644456724465,2.1616644456724465,2.1289733259813266,0.06538223938223986,0.03269111969111993
"[5, 5, 7, 11]","[5,5,7,11]",0.0617,0.0246,True,False,pares,0,27,1,0.0,1.0,2.1833951570749734,2.150808284488101,2.150808284488101,2.1182214119012284,0.06517374517374508,0.03258687258687232
"[5, 6, 6, 7]","[5,6,6,7]",0.0041,0.0201,True,False,pares,0,24,1,0.0,1.0,2.1802931476750524,2.1480614874433925,2.1480614874433925,2.1158298272117317,0.0644633204633207,0.03223166023165991
"[4, 5, 5, 7]","[4,5,5,7]",0.0019,0.0951,True,False,pares,0,21,1,0.0,1.0,2.173868308754642,2.1416868415731747,2.1416868415731747,2.1095053743917074,0.06436293436293461,0.032181467181467305
"[4, 4, 7, 11]","[4,4,7,11]",0.0546,0.0994,True,False,pares,0,25,1,0.0,1.0,2.1726156742350473,2.140217990837364,2.140217990837364,2.10782030743968,0.06479536679536713,0.03239768339768334
"[4, 5, 10, 11]","[4,5,10,11]",0.0811,0.0763,False,False,sin_pares,0,29,0,0.0,1.0,2.167366017075,2.167366017075,2.167366017075,2.167366017075,0.0,0.0
"[5, 5, 6, 11]","[5,5,6,11]",0.0493,0.0245,True,False,pares,0,26,1,0.0,1.0,2.1663194978245435,2.133813706318752,2.133813706318752,2.1013079148129603,0.06501158301158316,0.03250579150579158
"[4, 5, 5, 6]","[4,5,5,6]",0.0003,0.09,True,False,pares,0,20,1,0.0,1.0,2.160840563840207,2.128523961523605,2.128523961523605,2.0962073592070025,0.06463320463320432,0.03231660231660172
"[4, 6, 10, 11]","[4,6,10,11]",0.0838,0.0561,False,False,sin_pares,0,30,0,0.0,1.0,2.1596872075022726,2.1596872075022726,2.1596872075022726,2.1596872075022726,0.0,0.0
"[4, 4, 6, 11]","[4,4,6,11]",0.0473,0.0985,True,False,pares,0,24,1,0.0,1.0,2.1584275094835466,2.125956467012504,2.125956467012504,2.093485424541462,0.06494208494208475,0.03247104247104238
"[4, 4, 5, 11]","[4,4,5,11]",0.0403,0.1033,True,False,pares,0,23,1,0.0,1.0,2.1507327143358808,2.1181535637567306,2.1181535637567306,2.0855744131775795,0.06515830115830124,0.03257915057915017
"[4, 5, 7, 11]","[4,5,7,11]",0.0608,0.0804,False,False,sin_pares,0,26,0,0.0,1.0,2.1406300718272724,2.1406300718272724,2.1406300718272724,2.1406300718272724,0.0,0.0
"[5, 5, 6, 10]","[5,5,6,10]",0.0148,0.0236,True,False,pares,0,26,1,0.0,1.0,2.138163612599895,2.1058161222524046,2.1058161222524046,2.073468631904914,0.06469498069498103,0.03234749034749029
"[5, 5, 7, 10]","[5,5,7,10]",0.0169,0.0238,True,False,pares,0,27,1,0.0,1.0,2.1362760962186025,2.103666057608564,2.103666057608564,2.0710560189985254,0.06522007722007706,0.032610038610038306
"[4, 6, 7, 11]","[4,6,7,11]",0.0677,0.0597,False,False,sin_pares,0,27,0,0.0,1.0,2.1351154812886364,2.1351154812886364,2.1351154812886364,2.1351154812886364,0.0,0.0
"[4, 5, 6, 11]","[4,5,6,11]",0.0472,0.0931,False,False,sin_pares,0,25,0,0.0,1.0,2.130429444388636,2.130429444388636,2.130429444388636,2.130429444388636,0.0,0.0
