mano,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones
"[1, 6, 11, 11]",0.017865765330758086,0.28520843392885886,0.564461612747465,0.4168678577176887,6213
"[1, 6, 11, 12]",0.32193627103254546,0.010044547853474448,0.30774905655023693,0.4173311012115881,35243
"[1, 6, 12, 12]",0.6905305005213764,0.00013034410844629823,0.7581139207507821,0.4120177267987487,30688
"[1, 6, 6, 10]",0.0004894762604013706,0.6870615108500571,0.46271822483276226,0.34605971610376896,6129
"[1, 6, 6, 11]",0.006261328060636019,0.4496622178283078,0.47009391992090954,0.3498105124402702,6069
"[1, 6, 6, 12]",0.06155318131079573,0.1363418912454154,0.4826184021687131,0.33822356880880244,12542
"[1, 6, 6, 6]",0.0,0.9222343921139102,0.8346111719605696,0.31653888280394304,913
"[1, 6, 6, 7]",0.0,0.8219401631912965,0.46509519492293744,0.3155031731640979,5515
"[1, 6, 7, 10]",0.0009295408068414204,0.6299807894899919,0.3024106091590754,0.3421949556918882,16137
"[1, 6, 7, 11]",0.0067316766278704,0.4106951871657754,0.3094683862849953,0.3470273670965712,15895
"[1, 6, 7, 12]",0.08956701773336934,0.0965583460857563,0.3070183334833618,0.3465058361088607,33327
"[1, 6, 7, 7]",0.00017352073572791948,0.7957660940482387,0.48603158077390246,0.3336803748047892,5763
"[1, 7, 10, 10]",0.0012360939431396785,0.5888442521631644,0.5236402966625463,0.4672435105067985,6472
"[1, 7, 10, 11]",0.013587694983423012,0.329854883417577,0.30566878634708405,0.4652970270123376,18399
"[1, 7, 10, 12]",0.18951070084342977,0.03722629742575345,0.30421165416632323,0.4590510728316712,36399
"[1, 7, 11, 11]",0.017333333333333333,0.2965925925925926,0.5644444444444444,0.4565925925925926,6750
"[1, 7, 11, 12]",0.37159490333919154,0.007222100175746924,0.304948374340949,0.45815026362038663,36416
"[1, 7, 12, 12]",0.7406810715188274,6.317917614354308e-05,0.7627937831690674,0.46376674248167804,31656
"[1, 7, 7, 10]",0.0010670731707317074,0.614329268292683,0.5033536585365853,0.3571646341463415,6560
"[1, 7, 7, 11]",0.008398133748055987,0.38880248833592534,0.5013996889580093,0.3612752721617418,6430
"[1, 7, 7, 12]",0.10617357590217716,0.08365642708022666,0.5254249925439904,0.35937966000596483,13412
"[1, 7, 7, 7]",0.0,0.7871287128712872,0.8564356435643564,0.3475247524752475,1010
"[10, 10, 10, 10]",0.0,0.6764705882352942,0.9411764705882353,1.0,34
"[10, 10, 10, 11]",0.013293943870014771,0.29098966026587886,0.8581979320531757,0.9970457902511078,677
"[10, 10, 10, 12]",0.24481865284974094,0.025259067357512953,0.883419689119171,0.9902849740932642,1544
"[10, 10, 11, 11]",0.019032082653616094,0.2914627514953779,0.9456226209896683,0.9853181076672104,1839
"[10, 10, 11, 12]",0.5043624513823189,0.0007358351729212656,0.6015978135183433,0.9863344896457479,9513
"[10, 10, 12, 12]",0.8697453393444621,0.0,0.995857195077373,0.9887900572681857,8207
"[10, 11, 11, 11]",0.01859229747675963,0.27224435590969454,0.852589641434263,0.9880478087649402,753
"[10, 11, 11, 12]",0.5241969568892646,0.001267962806424345,0.6232037193575655,0.9893279797125951,9464
"[10, 11, 12, 12]",0.9588221436984687,0.0,0.7970789163722026,0.9886925795053003,21225
"[10, 12, 12, 12]",0.9964388168958354,0.0,0.9302601642101098,0.9902067464635473,10109
"[11, 11, 11, 11]",0.046511627906976744,0.4186046511627907,0.9302325581395349,0.9767441860465116,43
"[11, 11, 11, 12]",0.5341701534170153,0.001394700139470014,0.8870292887029289,0.9902370990237099,1434
"[11, 11, 12, 12]",0.9640106073999243,0.0,0.9988634928652608,0.9880035357999748,7919
"[11, 12, 12, 12]",0.9987217305801377,0.0,0.9289085545722714,0.9899705014749263,10170
"[12, 12, 12, 12]",1.0,0.0,1.0,0.9921151868357901,2917
"[4, 10, 10, 10]",0.0,0.6222222222222222,0.8481481481481481,0.7907407407407407,540
"[4, 10, 10, 11]",0.014500537056928034,0.3109559613319012,0.543233082706767,0.7935016111707841,3724
"[4, 10, 10, 12]",0.21539491298527444,0.030522088353413655,0.5571619812583668,0.801338688085676,7470
"[4, 10, 11, 11]",0.01634801884178443,0.29343308395677475,0.5827098919368247,0.8215572180659463,3609
"[4, 10, 11, 12]",0.4487263226649249,0.0032658393207054214,0.3052806109631714,0.8046023212581018,19903
"[4, 10, 12, 12]",0.8221804069152064,0.0,0.7695519228507586,0.8090085852052217,17006
"[4, 11, 11, 11]",0.017892644135188866,0.268389662027833,0.8628230616302187,0.8071570576540755,503
"[4, 11, 11, 12]",0.5098665925514174,0.0009727626459143969,0.6156197887715398,0.8044747081712063,7196
"[4, 11, 12, 12]",0.9067050152795254,0.0,0.7628377973515489,0.8045419138354605,16689
"[4, 12, 12, 12]",0.9858009552084678,0.0,0.9238414870272363,0.8072802375112947,7747
"[4, 4, 10, 10]",0.0017513134851138354,0.5849387040280211,0.9334500875656743,0.44658493870402804,1142
"[4, 4, 10, 11]",0.010305958132045089,0.37455716586151366,0.4402576489533011,0.4740740740740741,3105
"[4, 4, 10, 12]",0.136600790513834,0.059130434782608696,0.46055335968379446,0.46703557312252963,6325
"[4, 4, 11, 11]",0.01838879159369527,0.276707530647986,0.9378283712784589,0.4448336252189142,1142
"[4, 4, 11, 12]",0.28661290322580646,0.015806451612903227,0.4309677419354839,0.44306451612903225,6200
"[4, 4, 12, 12]",0.6411667583929554,0.0,0.9792698587415153,0.4507429829389103,5451
"[4, 4, 4, 10]",0.0022026431718061676,0.775330396475771,0.8237885462555066,0.3524229074889868,454
"[4, 4, 4, 11]",0.0019342359767891683,0.4990328820116054,0.8375241779497099,0.33849129593810445,517
"[4, 4, 4, 12]",0.04046858359957402,0.17358892438764642,0.8647497337593184,0.329073482428115,939
"[4, 4, 4, 4]",0.0,1.0,0.9615384615384616,0.3076923076923077,26
"[4, 4, 4, 5]",0.0,0.9886621315192744,0.8321995464852607,0.29024943310657597,441
"[4, 4, 4, 6]",0.0,0.9516129032258065,0.8271889400921659,0.3271889400921659,434
"[4, 4, 4, 7]",0.0,0.872651356993737,0.824634655532359,0.3569937369519833,479
"[4, 4, 5, 10]",0.0003448275862068965,0.7382758620689656,0.443448275862069,0.34413793103448276,2900
"[4, 4, 5, 11]",0.0020554984583761563,0.5001712915381981,0.4193216855087359,0.3367591640972936,2919
"[4, 4, 5, 12]",0.04160450853638323,0.18332504558262888,0.43891927730813857,0.3412895740096138,6033
"[4, 4, 5, 5]",0.0,0.975103734439834,0.9201244813278008,0.3350622406639004,964
"[4, 4, 5, 6]",0.0,0.9402756508422665,0.43070444104134764,0.32542113323124044,2612
"[4, 4, 5, 7]",0.0,0.861666038447041,0.4153788164342254,0.3335846211835658,2653
"[4, 4, 6, 10]",0.0006954102920723226,0.696105702364395,0.43532684283727396,0.3664812239221141,2876
"[4, 4, 6, 11]",0.0031337047353760445,0.4491643454038997,0.4300139275766017,0.3579387186629526,2872
"[4, 4, 6, 12]",0.049215882549215884,0.15081748415081747,0.44744744744744747,0.3570236903570237,5994
"[4, 4, 6, 6]",0.0,0.9044715447154471,0.9258130081300813,0.3404471544715447,984
"[4, 4, 6, 7]",0.0,0.846909090909091,0.43672727272727274,0.3261818181818182,2750
"[4, 4, 7, 10]",0.0020408163265306124,0.6591836734693878,0.43673469387755104,0.3619047619047619,2940
"[4, 4, 7, 11]",0.007273986837547627,0.4121925874610322,0.4354000692760651,0.3560789747142362,2887
"[4, 4, 7, 12]",0.07190245651784113,0.11888111888111888,0.4523937600860678,0.3627398242782858,5577
"[4, 4, 7, 7]",0.0,0.8044103547459253,0.9223394055608821,0.3202301054650048,1043
"[4, 5, 10, 10]",0.0009541984732824427,0.5909669211195929,0.5111323155216285,0.49745547073791346,3144
"[4, 5, 10, 11]",0.009128032668748499,0.3625990871967331,0.3062695171751141,0.49483545520057653,8326
"[4, 5, 10, 12]",0.15401849830527947,0.052679956339403686,0.3106796116504854,0.505716091227667,17407
"[4, 5, 11, 11]",0.01896044458973521,0.2965021248774109,0.5684864334749918,0.5086629617522066,3059
"[4, 5, 11, 12]",0.309003157957457,0.011440147768575343,0.30298516355836264,0.5013406423166299,16783
"[4, 5, 12, 12]",0.6752524910187758,0.00013556564766488172,0.7454077136853521,0.5027452043652139,14753
"[4, 5, 5, 10]",0.0,0.7231075697211156,0.4316069057104914,0.3691899070385126,3012
"[4, 5, 5, 11]",0.004896817068905212,0.4774396642182581,0.4487583071003847,0.36376355369010144,2859
"[4, 5, 5, 12]",0.04026391473523938,0.17763491794958552,0.4537303332769413,0.35560818812383693,5911
"[4, 5, 5, 5]",0.0,0.9790794979079498,0.8263598326359832,0.3577405857740586,478
"[4, 5, 5, 6]",0.0,0.9328136599851522,0.437268002969562,0.34669636228656275,2694
"[4, 5, 5, 7]",0.0,0.8618155090040426,0.4281514149209849,0.32855567805953695,2721
"[4, 5, 6, 10]",0.00026588673225206064,0.6956926349375167,0.3081627226801383,0.3548258441903749,7522
"[4, 5, 6, 11]",0.004713375796178344,0.46152866242038215,0.31337579617834393,0.35821656050955414,7850
