mano,mano_legible,posicion,posicion_nombre,rank,mascara_idx,accion,reward_promedio,n_visitas,confianza,prob_seleccion_pct
"[1, 1, 1, 6]",6-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [6]",0.8164152831946985,28973,ALTA,69.09226524251847
"[1, 1, 1, 6]",6-As-As-As,1,MANO (J1),2,14,"Mantener [Nada] / Descartar [6,As,As,As]",-0.4955303213336555,28973,ALTA,5.010579513390539
"[1, 1, 1, 6]",6-As-As-As,1,MANO (J1),3,5,"Mantener [As,As] / Descartar [6,As]",-0.6502260725503055,28973,ALTA,3.6772311986077915
"[1, 1, 1, 6]",6-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [6]",0.624641932700604,28975,ALTA,75.3791492445865
"[1, 1, 1, 6]",6-As-As-As,2,POSTRE (J2),2,4,"Mantener [As,As] / Descartar [6,As]",-0.905056082830026,28975,ALTA,3.5364898608624693
"[1, 1, 1, 6]",6-As-As-As,2,POSTRE (J2),3,5,"Mantener [As,As] / Descartar [6,As]",-0.937946505608283,28975,ALTA,3.311342926009981
"[1, 1, 1, 6]",6-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [6]",1.093700020860858,28762,ALTA,63.265151027514676
"[1, 1, 1, 6]",6-As-As-As,3,MANO (J3),2,5,"Mantener [As,As] / Descartar [6,As]",-0.1849662749461094,28762,ALTA,4.903758977320365
"[1, 1, 1, 6]",6-As-As-As,3,MANO (J3),3,6,"Mantener [As,As] / Descartar [6,As]",-0.1995688755997496,28762,ALTA,4.762614813281222
"[1, 1, 1, 6]",6-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [6]",0.8253649956024626,28425,ALTA,72.51584044071534
"[1, 1, 1, 6]",6-As-As-As,4,POSTRE (J4),2,6,"Mantener [As,As] / Descartar [6,As]",-0.6039401934916446,28425,ALTA,4.158667242921546
"[1, 1, 1, 6]",6-As-As-As,4,POSTRE (J4),3,4,"Mantener [As,As] / Descartar [6,As]",-0.6793315743183818,28425,ALTA,3.5765973480214144
"[1, 1, 1, 7]",7-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [7]",0.8282638235601547,28701,ALTA,69.65539313659322
"[1, 1, 1, 7]",7-As-As-As,1,MANO (J1),2,14,"Mantener [Nada] / Descartar [7,As,As,As]",-0.5695620361659872,28701,ALTA,4.254207144921004
"[1, 1, 1, 7]",7-As-As-As,1,MANO (J1),3,6,"Mantener [As,As] / Descartar [7,As]",-0.6316156231490192,28701,ALTA,3.757678083917531
"[1, 1, 1, 7]",7-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [7]",0.6166775288992556,29153,ALTA,76.32424668908891
"[1, 1, 1, 7]",7-As-As-As,2,POSTRE (J2),2,4,"Mantener [As,As] / Descartar [7,As]",-0.9723184577916508,29153,ALTA,3.1803736675605676
"[1, 1, 1, 7]",7-As-As-As,2,POSTRE (J2),3,6,"Mantener [As,As] / Descartar [7,As]",-0.9740678489349296,29153,ALTA,3.169265676061337
"[1, 1, 1, 7]",7-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [7]",1.059405593178708,28499,ALTA,62.1852436805605
"[1, 1, 1, 7]",7-As-As-As,3,MANO (J3),2,4,"Mantener [As,As] / Descartar [7,As]",-0.1692690971613039,28499,ALTA,5.3268941169234685
"[1, 1, 1, 7]",7-As-As-As,3,MANO (J3),3,5,"Mantener [As,As] / Descartar [7,As]",-0.2119021720060353,28499,ALTA,4.891515635470442
"[1, 1, 1, 7]",7-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [7]",0.794861082097347,28722,ALTA,72.884823835153
"[1, 1, 1, 7]",7-As-As-As,4,POSTRE (J4),2,5,"Mantener [As,As] / Descartar [7,As]",-0.6294478100410835,28722,ALTA,4.221804550392058
"[1, 1, 1, 7]",7-As-As-As,4,POSTRE (J4),3,6,"Mantener [As,As] / Descartar [7,As]",-0.668686024650094,28722,ALTA,3.903159002891496
"[1, 1, 10, 10]",Sota-Sota-As-As,1,MANO (J1),1,9,"Mantener [Sota,Sota] / Descartar [As,As]",1.350843727072634,13630,ALTA,67.48170697940645
"[1, 1, 10, 10]",Sota-Sota-As-As,1,MANO (J1),2,2,"Mantener [Sota,Sota,As] / Descartar [As]",0.3537050623624358,13630,ALTA,9.185068936891795
"[1, 1, 10, 10]",Sota-Sota-As-As,1,MANO (J1),3,3,"Mantener [Sota,Sota,As] / Descartar [As]",0.3072633895818048,13630,ALTA,8.370351496772944
"[1, 1, 10, 10]",Sota-Sota-As-As,2,POSTRE (J2),1,9,"Mantener [Sota,Sota] / Descartar [As,As]",1.0297357740412492,12073,ALTA,72.9447805883683
"[1, 1, 10, 10]",Sota-Sota-As-As,2,POSTRE (J2),2,3,"Mantener [Sota,Sota,As] / Descartar [As]",-0.1813136751428808,12073,ALTA,6.472767925637342
"[1, 1, 10, 10]",Sota-Sota-As-As,2,POSTRE (J2),3,2,"Mantener [Sota,Sota,As] / Descartar [As]",-0.2722604158038598,12073,ALTA,5.396282793308108
"[1, 1, 10, 10]",Sota-Sota-As-As,3,MANO (J3),1,9,"Mantener [Sota,Sota] / Descartar [As,As]",1.44356377513577,13626,ALTA,63.280809084726876
"[1, 1, 10, 10]",Sota-Sota-As-As,3,MANO (J3),2,2,"Mantener [Sota,Sota,As] / Descartar [As]",0.4608102157639806,13626,ALTA,8.86468131692919
"[1, 1, 10, 10]",Sota-Sota-As-As,3,MANO (J3),3,3,"Mantener [Sota,Sota,As] / Descartar [As]",0.4179509760751504,13626,ALTA,8.136470699921261
"[1, 1, 10, 10]",Sota-Sota-As-As,4,POSTRE (J4),1,9,"Mantener [Sota,Sota] / Descartar [As,As]",0.9062782109150594,12185,ALTA,61.24848548689322
"[1, 1, 10, 10]",Sota-Sota-As-As,4,POSTRE (J4),2,3,"Mantener [Sota,Sota,As] / Descartar [As]",-0.0687730816577759,12185,ALTA,8.713177520293556
"[1, 1, 10, 10]",Sota-Sota-As-As,4,POSTRE (J4),3,2,"Mantener [Sota,Sota,As] / Descartar [As]",-0.0934755847353303,12185,ALTA,8.293163751916286
"[1, 1, 10, 11]",Caballo-Sota-As-As,1,MANO (J1),1,9,"Mantener [Caballo,Sota] / Descartar [As,As]",0.5445319107410058,76855,ALTA,41.72732610477703
"[1, 1, 10, 11]",Caballo-Sota-As-As,1,MANO (J1),2,12,"Mantener [Sota] / Descartar [Caballo,As,As]",-0.1050809966820636,76855,ALTA,11.380830462089818
"[1, 1, 10, 11]",Caballo-Sota-As-As,1,MANO (J1),3,13,"Mantener [Caballo] / Descartar [Sota,As,As]",-0.1180534773274347,76855,ALTA,11.089352794970653
"[1, 1, 10, 11]",Caballo-Sota-As-As,2,POSTRE (J2),1,9,"Mantener [Caballo,Sota] / Descartar [As,As]",0.1239792805307092,77029,ALTA,40.40772161966201
"[1, 1, 10, 11]",Caballo-Sota-As-As,2,POSTRE (J2),2,12,"Mantener [Sota] / Descartar [Caballo,As,As]",-0.5054719651040517,77029,ALTA,11.474399284415277
"[1, 1, 10, 11]",Caballo-Sota-As-As,2,POSTRE (J2),3,13,"Mantener [Caballo] / Descartar [Sota,As,As]",-0.5571018707240131,77029,ALTA,10.348676047304824
"[1, 1, 10, 11]",Caballo-Sota-As-As,3,MANO (J3),1,9,"Mantener [Caballo,Sota] / Descartar [As,As]",0.5815770872058015,76394,ALTA,33.05463919062096
"[1, 1, 10, 11]",Caballo-Sota-As-As,3,MANO (J3),2,12,"Mantener [Sota] / Descartar [Caballo,As,As]",0.0390606592140744,76394,ALTA,11.168854644884235
"[1, 1, 10, 11]",Caballo-Sota-As-As,3,MANO (J3),3,13,"Mantener [Caballo] / Descartar [Sota,As,As]",0.0070293478545435,76394,ALTA,10.475785453222661
"[1, 1, 10, 11]",Caballo-Sota-As-As,4,POSTRE (J4),1,9,"Mantener [Caballo,Sota] / Descartar [As,As]",0.120011911852293,77234,ALTA,33.362341104199174
"[1, 1, 10, 11]",Caballo-Sota-As-As,4,POSTRE (J4),2,4,"Mantener [As,As] / Descartar [Caballo,Sota]",-0.4189735090763135,77234,ALTA,11.352714861326657
"[1, 1, 10, 11]",Caballo-Sota-As-As,4,POSTRE (J4),3,12,"Mantener [Sota] / Descartar [Caballo,As,As]",-0.4192583577181034,77234,ALTA,11.34624909244926
"[1, 1, 10, 12]",Rey-Sota-As-As,1,MANO (J1),1,9,"Mantener [Rey,Sota] / Descartar [As,As]",0.9093273536754688,153409,ALTA,46.21648780852763
"[1, 1, 10, 12]",Rey-Sota-As-As,1,MANO (J1),2,13,"Mantener [Rey] / Descartar [Sota,As,As]",0.5215013460748718,153409,ALTA,21.278232422962056
"[1, 1, 10, 12]",Rey-Sota-As-As,1,MANO (J1),3,12,"Mantener [Sota] / Descartar [Rey,As,As]",-0.0196598635021413,153409,ALTA,7.209230213115925
"[1, 1, 10, 12]",Rey-Sota-As-As,2,POSTRE (J2),1,9,"Mantener [Rey,Sota] / Descartar [As,As]",0.4396336011424234,155459,ALTA,43.42392643651392
"[1, 1, 10, 12]",Rey-Sota-As-As,2,POSTRE (J2),2,13,"Mantener [Rey] / Descartar [Sota,As,As]",0.0368392952482648,155459,ALTA,19.402889102454633
"[1, 1, 10, 12]",Rey-Sota-As-As,2,POSTRE (J2),3,12,"Mantener [Sota] / Descartar [Rey,As,As]",-0.4024662451192919,155459,ALTA,8.059172607180033
"[1, 1, 10, 12]",Rey-Sota-As-As,3,MANO (J3),1,9,"Mantener [Rey,Sota] / Descartar [As,As]",0.729890933878664,152568,ALTA,34.37957052301559
"[1, 1, 10, 12]",Rey-Sota-As-As,3,MANO (J3),2,13,"Mantener [Rey] / Descartar [Sota,As,As]",0.4166535577578522,152568,ALTA,18.37493955511924
"[1, 1, 10, 12]",Rey-Sota-As-As,3,MANO (J3),3,12,"Mantener [Sota] / Descartar [Rey,As,As]",0.0502726653033401,152568,ALTA,8.830626564161772
"[1, 1, 10, 12]",Rey-Sota-As-As,4,POSTRE (J4),1,9,"Mantener [Rey,Sota] / Descartar [As,As]",0.3033610455148319,154565,ALTA,33.969462144040726
"[1, 1, 10, 12]",Rey-Sota-As-As,4,POSTRE (J4),2,13,"Mantener [Rey] / Descartar [Sota,As,As]",-0.0839064471258046,154565,ALTA,15.657138755658123
"[1, 1, 10, 12]",Rey-Sota-As-As,4,POSTRE (J4),3,4,"Mantener [As,As] / Descartar [Rey,Sota]",-0.297939378255103,154565,ALTA,10.2048296287637
"[1, 1, 11, 11]",Caballo-Caballo-As-As,1,MANO (J1),1,9,"Mantener [Caballo,Caballo] / Descartar [As,As]",1.287609948437974,13188,ALTA,67.16292522573477
"[1, 1, 11, 11]",Caballo-Caballo-As-As,1,MANO (J1),2,3,"Mantener [Caballo,Caballo,As] / Descartar [As]",0.2855626326963906,13188,ALTA,9.05237139377572
"[1, 1, 11, 11]",Caballo-Caballo-As-As,1,MANO (J1),3,2,"Mantener [Caballo,Caballo,As] / Descartar [As]",0.2656202608431908,13188,ALTA,8.698425324914638
"[1, 1, 11, 11]",Caballo-Caballo-As-As,2,POSTRE (J2),1,9,"Mantener [Caballo,Caballo] / Descartar [As,As]",0.9570509476612764,11502,ALTA,72.71504255661795
"[1, 1, 11, 11]",Caballo-Caballo-As-As,2,POSTRE (J2),2,2,"Mantener [Caballo,Caballo,As] / Descartar [As]",-0.2579551382368283,11502,ALTA,6.40152410925598
"[1, 1, 11, 11]",Caballo-Caballo-As-As,2,POSTRE (J2),3,3,"Mantener [Caballo,Caballo,As] / Descartar [As]",-0.3015127803860198,11502,ALTA,5.867454063781227
"[1, 1, 11, 11]",Caballo-Caballo-As-As,3,MANO (J3),1,9,"Mantener [Caballo,Caballo] / Descartar [As,As]",1.4524034672970842,12690,ALTA,64.72567699102748
