mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[4, 10, 11, 11]",0.3414,0.0085,0.836,0.8764,0.659,0.1719
"[4, 10, 11, 3]",0.2846,0.078,0.3465,0.5847,0.6535,0.2212
"[4, 10, 11, 12]",0.9254,0.0082,0.3541,0.8788,0.6459,0.1693
"[4, 10, 3, 3]",0.0401,0.0988,0.4723,0.0807,0.6534,0.2748
"[4, 10, 3, 12]",0.6991,0.0744,0.3477,0.5828,0.6523,0.2175
"[4, 10, 12, 12]",0.9946,0.0076,0.9329,0.8773,0.6523,0.1688
"[4, 11, 11, 11]",0.3395,0.0065,0.9542,0.8814,0.6673,0.1639
"[4, 11, 11, 3]",0.3477,0.0735,0.8429,0.5876,0.6506,0.2154
"[4, 11, 11, 12]",0.9445,0.007,0.8881,0.879,0.6563,0.1662
"[4, 11, 3, 3]",0.1516,0.1037,0.4736,0.0838,0.6526,0.2806
"[4, 11, 3, 12]",0.8304,0.0779,0.3555,0.5751,0.6445,0.2238
"[4, 11, 12, 12]",0.9985,0.0075,0.9372,0.8794,0.663,0.1649
"[4, 3, 3, 3]",0.0001,0.0971,0.9381,0.0011,0.6728,0.3318
"[4, 3, 3, 12]",0.4873,0.0992,0.4719,0.0835,0.6535,0.269
"[4, 3, 12, 12]",0.9846,0.0692,0.9319,0.5844,0.6531,0.214
"[4, 12, 12, 12]",1.0,0.008,0.9608,0.8751,0.671,0.1692
"[5, 5, 5, 5]",0.0002,0.0048,0.9613,0.092,0.7026,0.2804
"[5, 5, 5, 6]",0.0042,0.0038,0.94,0.1244,0.6652,0.285
"[5, 5, 5, 7]",0.013,0.0051,0.9447,0.188,0.672,0.2715
"[5, 5, 5, 10]",0.046,0.0038,0.9412,0.3956,0.6738,0.243
"[5, 5, 5, 11]",0.1686,0.0042,0.9434,0.4102,0.6725,0.2345
"[5, 5, 5, 3]",0.0002,0.0658,0.9421,0.0351,0.6734,0.2917
"[5, 5, 5, 12]",0.5211,0.0044,0.9439,0.4071,0.6727,0.2387
"[5, 5, 6, 6]",0.0032,0.005,0.9734,0.1806,0.6653,0.2821
"[5, 5, 6, 7]",0.0217,0.004,0.5941,0.2416,0.6569,0.273
"[5, 5, 6, 10]",0.0634,0.0033,0.6026,0.48,0.6521,0.2489
