mano_f1,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada,mano_norm,mano_f2,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones,mejora_pares,mejora_juego,mejora_grande,mejora_chica
"[1, 5, 5, 11]",0.0419,0.4319,0.3435,0.0401,0.8263,0.5172,"[1, 5, 5, 11]","[1, 5, 5, 11]",0.0038461538461538,0.4923076923076923,0.4769230769230769,0.3346153846153846,260,0.13342307692307687,0.2945153846153846,-0.0380538461538462,0.06040769230769227
"[1, 5, 6, 6]",0.0003,0.4252,0.379,0.0072,0.8259,0.5488,"[1, 5, 6, 6]","[1, 5, 6, 6]",0.0,0.8995983935742972,0.4738955823293173,0.3092369477911647,249,0.09489558232931727,0.3020369477911647,-0.0003,0.47439839357429714
"[1, 5, 6, 7]",0.0042,0.4243,0.181,0.021,0.819,0.5475,"[1, 5, 6, 7]","[1, 5, 6, 7]",0.0,0.8181818181818182,0.3154269972451791,0.3691460055096419,726,0.1344269972451791,0.34814600550964186,-0.0042,0.3938818181818182
"[1, 5, 6, 10]",0.0117,0.4126,0.1907,0.0872,0.8093,0.5072,"[1, 5, 6, 10]","[1, 5, 6, 10]",0.0,0.6818757921419518,0.3143219264892268,0.3333333333333333,789,0.12362192648922679,0.24613333333333332,-0.0117,0.2692757921419518
"[1, 5, 6, 11]",0.0474,0.4097,0.1845,0.0829,0.8155,0.5059,"[1, 5, 6, 11]","[1, 5, 6, 11]",0.0062972292191435,0.4458438287153652,0.2997481108312342,0.3564231738035264,794,0.11524811083123421,0.2735231738035264,-0.0411027707808565,0.0361438287153652
"[1, 5, 7, 7]",0.0038,0.3863,0.4326,0.0249,0.8235,0.5384,"[1, 5, 7, 7]","[1, 5, 7, 7]",0.0,0.8206896551724138,0.4793103448275862,0.3103448275862069,290,0.046710344827586237,0.28544482758620693,-0.0038,0.4343896551724138
"[1, 5, 7, 10]",0.0161,0.3798,0.178,0.1134,0.822,0.4938,"[1, 5, 7, 10]","[1, 5, 7, 10]",0.0,0.6658506731946144,0.3084455324357405,0.3610771113831089,817,0.13044553243574053,0.24767711138310888,-0.0161,0.2860506731946144
"[1, 5, 7, 11]",0.0599,0.3883,0.1818,0.1095,0.8182,0.4889,"[1, 5, 7, 11]","[1, 5, 7, 11]",0.0075853350189633,0.4108723135271808,0.3147914032869785,0.3666245259165613,791,0.13299140328697853,0.2571245259165613,-0.0523146649810367,0.02257231352718081
"[1, 5, 10, 10]",0.0231,0.3674,0.4995,0.2689,0.8201,0.4589,"[1, 5, 10, 10]","[1, 5, 10, 10]",0.0,0.5180722891566265,0.5331325301204819,0.3644578313253012,332,0.033632530120481896,0.09555783132530121,-0.0231,0.1506722891566265
"[1, 5, 10, 11]",0.0763,0.3535,0.1808,0.2753,0.8192,0.4656,"[1, 5, 10, 11]","[1, 5, 10, 11]",0.0136476426799007,0.3746898263027295,0.3101736972704714,0.4081885856079404,806,0.1293736972704714,0.13288858560794042,-0.0626523573200993,0.02118982630272953
"[1, 5, 11, 11]",0.096,0.3414,0.5491,0.2735,0.8315,0.4599,"[1, 5, 11, 11]","[1, 5, 11, 11]",0.0060790273556231,0.2401215805471124,0.5714285714285714,0.3799392097264438,329,0.022328571428571364,0.10643920972644377,-0.0899209726443769,-0.10127841945288757
"[1, 6, 6, 6]",0.0001,0.2933,0.8544,0.0176,0.8342,0.5504,"[1, 6, 6, 6]","[1, 6, 6, 6]",0.0,0.95,0.875,0.3,40,0.02059999999999995,0.2824,-0.0001,0.6567
"[1, 6, 6, 7]",0.0037,0.2942,0.4003,0.029,0.8246,0.5233,"[1, 6, 6, 7]","[1, 6, 6, 7]",0.0,0.8253424657534246,0.4486301369863014,0.3253424657534247,292,0.0483301369863014,0.29634246575342466,-0.0037,0.5311424657534246
"[1, 6, 6, 10]",0.0121,0.291,0.3951,0.1126,0.8298,0.5089,"[1, 6, 6, 10]","[1, 6, 6, 10]",0.0,0.6729559748427673,0.5283018867924528,0.3584905660377358,318,0.13320188679245282,0.24589056603773582,-0.0121,0.3819559748427673
"[1, 6, 6, 11]",0.0521,0.2959,0.4087,0.1116,0.8211,0.5053,"[1, 6, 6, 11]","[1, 6, 6, 11]",0.0141843971631205,0.4219858156028369,0.5,0.3794326241134751,282,0.09129999999999999,0.2678326241134751,-0.0379156028368795,0.12608581560283688
"[1, 6, 7, 7]",0.0038,0.2826,0.4296,0.0449,0.8266,0.5128,"[1, 6, 7, 7]","[1, 6, 7, 7]",0.0,0.8273615635179153,0.4918566775244299,0.2996742671009772,307,0.062256677524429926,0.2547742671009772,-0.0038,0.5447615635179153
"[1, 6, 7, 10]",0.0191,0.28,0.1771,0.1385,0.8229,0.4886,"[1, 6, 7, 10]","[1, 6, 7, 10]",0.0026041666666666,0.609375,0.30859375,0.3359375,768,0.13149375,0.1974375,-0.016495833333333397,0.329375
"[1, 6, 7, 11]",0.0605,0.2792,0.1835,0.1348,0.8165,0.4902,"[1, 6, 7, 11]","[1, 6, 7, 11]",0.0108958837772397,0.4382566585956416,0.2845036319612591,0.3644067796610169,826,0.10100363196125911,0.22960677966101692,-0.0496041162227603,0.1590566585956416
"[1, 6, 10, 10]",0.0228,0.2615,0.4927,0.3601,0.8222,0.4562,"[1, 6, 10, 10]","[1, 6, 10, 10]",0.0123456790123456,0.5246913580246914,0.5864197530864198,0.4444444444444444,324,0.09371975308641978,0.08434444444444444,-0.0104543209876544,0.26319135802469135
"[1, 6, 10, 11]",0.0808,0.2683,0.1835,0.3409,0.8165,0.4597,"[1, 6, 10, 11]","[1, 6, 10, 11]",0.0117508813160987,0.3349001175088131,0.2925969447708578,0.4312573443008226,851,0.1090969447708578,0.0903573443008226,-0.06904911868390129,0.06660011750881312
"[1, 6, 11, 11]",0.1014,0.2495,0.552,0.3502,0.8231,0.4577,"[1, 6, 11, 11]","[1, 6, 11, 11]",0.0153846153846153,0.28,0.5476923076923077,0.3784615384615384,325,-0.004307692307692346,0.028261538461538394,-0.0860153846153847,0.030500000000000027
"[1, 7, 7, 7]",0.0032,0.2122,0.8524,0.0858,0.8395,0.5185,"[1, 7, 7, 7]","[1, 7, 7, 7]",0.0,0.8936170212765957,0.9361702127659576,0.3191489361702128,47,0.08377021276595753,0.2333489361702128,-0.0032,0.6814170212765958
"[1, 7, 7, 10]",0.0201,0.2131,0.4704,0.21,0.8247,0.4792,"[1, 7, 7, 10]","[1, 7, 7, 10]",0.0053763440860215,0.6182795698924731,0.489247311827957,0.3655913978494624,372,0.018847311827957014,0.15559139784946238,-0.0147236559139785,0.4051795698924731
"[1, 7, 7, 11]",0.065,0.2163,0.462,0.2098,0.8214,0.4814,"[1, 7, 7, 11]","[1, 7, 7, 11]",0.0028011204481792,0.4117647058823529,0.4901960784313725,0.3333333333333333,357,0.02819607843137245,0.12353333333333333,-0.0621988795518208,0.19546470588235293
"[1, 7, 10, 10]",0.024,0.2118,0.4873,0.449,0.8267,0.4507,"[1, 7, 10, 10]","[1, 7, 10, 10]",0.0,0.5632530120481928,0.5120481927710844,0.4096385542168674,332,0.024748192771084365,-0.03936144578313261,-0.024,0.3514530120481928
"[1, 7, 10, 11]",0.0909,0.2017,0.1727,0.4509,0.8273,0.4488,"[1, 7, 10, 11]","[1, 7, 10, 11]",0.0135900339750849,0.3601359003397508,0.2933182332955832,0.4462061155152887,883,0.12061823329558322,-0.004693884484711308,-0.07730996602491509,0.1584359003397508
"[1, 7, 11, 11]",0.106,0.1905,0.5539,0.4542,0.8235,0.4437,"[1, 7, 11, 11]","[1, 7, 11, 11]",0.0031746031746031,0.3333333333333333,0.5841269841269842,0.4603174603174603,315,0.030226984126984213,0.006117460317460299,-0.1028253968253969,0.1428333333333333
"[1, 10, 10, 10]",0.0242,0.1633,0.864,1.0,0.8324,0.4093,"[1, 10, 10, 10]","[1, 10, 10, 10]",0.0,0.5957446808510638,0.7659574468085106,0.5106382978723404,47,-0.09804255319148936,-0.4893617021276596,-0.0242,0.4324446808510638
"[1, 10, 10, 11]",0.0938,0.1715,0.5154,1.0,0.8254,0.4122,"[1, 10, 10, 11]","[1, 10, 10, 11]",0.0079787234042553,0.2792553191489361,0.6063829787234043,0.6808510638297872,376,0.09098297872340433,-0.3191489361702128,-0.08582127659574469,0.10775531914893607
"[1, 10, 11, 11]",0.1003,0.1646,0.5536,1.0,0.8277,0.4157,"[1, 10, 11, 11]","[1, 10, 11, 11]",0.0181818181818181,0.3272727272727272,0.593939393939394,0.6727272727272727,330,0.04033939393939401,-0.32727272727272727,-0.0821181818181819,0.16267272727272722
"[1, 11, 11, 11]",0.1029,0.1582,0.8608,1.0,0.8281,0.4155,"[1, 11, 11, 11]","[1, 11, 11, 11]",0.0,0.2195121951219512,0.8536585365853658,0.6585365853658537,41,-0.007141463414634175,-0.3414634146341463,-0.1029,0.061312195121951185
"[12, 12, 12, 12]",1.0,0.0,1.0,0.8273,0.7886,0.338,"[12, 12, 12, 12]","[12, 12, 12, 12]",1.0,0.0,1.0,1.0,125,0.0,0.17269999999999996,0.0,0.0
"[4, 4, 4, 5]",0.0,0.1042,0.8415,0.0055,0.8503,0.5744,"[4, 4, 4, 5]","[4, 4, 4, 5]",0.0,1.0,0.75,0.4166666666666667,12,-0.09150000000000003,0.4111666666666667,0.0,0.8958
"[4, 4, 4, 6]",0.0003,0.1025,0.8398,0.0131,0.8497,0.5706,"[4, 4, 4, 6]","[4, 4, 4, 6]",0.0,1.0,0.8421052631578947,0.3684210526315789,19,0.002305263157894699,0.3553210526315789,-0.0003,0.8975
"[4, 4, 4, 7]",0.0009,0.1029,0.841,0.0239,0.8561,0.5633,"[4, 4, 4, 7]","[4, 4, 4, 7]",0.0,0.6470588235294118,0.7647058823529411,0.3529411764705882,17,-0.07629411764705885,0.3290411764705882,-0.0009,0.5441588235294118
"[4, 4, 4, 10]",0.0074,0.1119,0.8419,0.0834,0.8418,0.5283,"[4, 4, 4, 10]","[4, 4, 4, 10]",0.0,0.7777777777777778,0.7777777777777778,0.2962962962962963,27,-0.06412222222222219,0.21289629629629628,-0.0074,0.6658777777777778
"[4, 4, 4, 11]",0.0364,0.1043,0.8359,0.0894,0.8538,0.5254,"[4, 4, 4, 11]","[4, 4, 4, 11]",0.0,0.6363636363636364,0.8181818181818182,0.3636363636363636,33,-0.017718181818181744,0.2742363636363636,-0.0364,0.5320636363636364
"[4, 4, 5, 5]",0.0,0.1045,0.9152,0.0099,0.8412,0.559,"[4, 4, 5, 5]","[4, 4, 5, 5]",0.0,0.9622641509433962,0.9056603773584906,0.4150943396226415,53,-0.009539622641509427,0.40519433962264145,0.0,0.8577641509433962
"[4, 4, 5, 6]",0.0003,0.0992,0.3232,0.025,0.8432,0.556,"[4, 4, 5, 6]","[4, 4, 5, 6]",0.0,0.9492753623188406,0.4855072463768116,0.3985507246376811,138,0.1623072463768116,0.3735507246376811,-0.0003,0.8500753623188406
"[4, 4, 5, 7]",0.0012,0.1027,0.3205,0.0306,0.8387,0.5552,"[4, 4, 5, 7]","[4, 4, 5, 7]",0.0,0.864,0.472,0.344,125,0.15149999999999997,0.31339999999999996,-0.0012,0.7613
"[4, 4, 5, 10]",0.0092,0.1034,0.3177,0.1143,0.8445,0.5192,"[4, 4, 5, 10]","[4, 4, 5, 10]",0.0,0.6640625,0.4453125,0.359375,128,0.12761250000000002,0.245075,-0.0092,0.5606625
